Timestamp,Market,Data Type,Value
1711648800.0,AAVE,Supplied rETH,41713.43225738368
1711648800.0,AAVE,Borrowed rETH,724.927558396935
1711670400.0,AAVE,Supplied rETH,41713.43341480489
1711670400.0,AAVE,Borrowed rETH,724.9289200729377
1711692000.0,AAVE,Supplied rETH,41723.384951041204
1711692000.0,AAVE,Borrowed rETH,724.9302615529201
1711713600.0,AAVE,Supplied rETH,41722.34107248536
1711713600.0,AAVE,Borrowed rETH,724.9316050921977
1711735200.0,AAVE,Supplied rETH,41692.342218324135
1711735200.0,AAVE,Borrowed rETH,724.9329531398303
1711756800.0,AAVE,Supplied rETH,41662.34920581316
1711756800.0,AAVE,Borrowed rETH,724.9343007881976
1711778400.0,AAVE,Supplied rETH,41662.35034877672
1711778400.0,AAVE,Borrowed rETH,724.935645474068
1711800000.0,AAVE,Supplied rETH,41662.35150003084
1711800000.0,AAVE,Borrowed rETH,724.9369998924435
1711821600.0,AAVE,Supplied rETH,41662.35264811171
1711821600.0,AAVE,Borrowed rETH,724.9383505801021
1711843200.0,AAVE,Supplied rETH,41662.35379428863
1711843200.0,AAVE,Borrowed rETH,724.9396990303246
1711864800.0,AAVE,Supplied rETH,41662.35486530563
1711864800.0,AAVE,Borrowed rETH,689.9355648747621
1711886400.0,AAVE,Supplied rETH,41662.35590462919
1711886400.0,AAVE,Borrowed rETH,689.9367876094404
1711908000.0,AAVE,Supplied rETH,41676.356946580425
1711908000.0,AAVE,Borrowed rETH,689.9380134353723
1711929600.0,AAVE,Supplied rETH,41666.02883595802
1711929600.0,AAVE,Borrowed rETH,689.9392318552451
1711951200.0,AAVE,Supplied rETH,41675.09199036838
1711951200.0,AAVE,Borrowed rETH,639.9403788490757
1711972800.0,AAVE,Supplied rETH,41677.106932838535
1711972800.0,AAVE,Borrowed rETH,639.9414356694227
1711994400.0,AAVE,Supplied rETH,41677.10782173377
1711994400.0,AAVE,Borrowed rETH,639.942481430712
1712016000.0,AAVE,Supplied rETH,41677.108753254746
1712016000.0,AAVE,Borrowed rETH,679.9435773401658
1712037600.0,AAVE,Supplied rETH,41527.10983721704
1712037600.0,AAVE,Borrowed rETH,762.444852590695
1712059200.0,AAVE,Supplied rETH,41398.571228245586
1712059200.0,AAVE,Borrowed rETH,762.4463489267183
1712080800.0,AAVE,Supplied rETH,41461.84390920259
1712080800.0,AAVE,Borrowed rETH,762.4478525550746
1712102400.0,AAVE,Supplied rETH,41461.84517755554
1712102400.0,AAVE,Borrowed rETH,762.4493447370518
1712124000.0,AAVE,Supplied rETH,41563.01668025653
1712124000.0,AAVE,Borrowed rETH,762.4508327388993
1712145600.0,AAVE,Supplied rETH,41618.308362975404
1712145600.0,AAVE,Borrowed rETH,762.4523260163329
1712167200.0,AAVE,Supplied rETH,41596.86178515318
1712167200.0,AAVE,Borrowed rETH,762.4538088370396
1712188800.0,AAVE,Supplied rETH,41772.908097626925
1712188800.0,AAVE,Borrowed rETH,762.455290993946
1712210400.0,AAVE,Supplied rETH,41766.65133564406
1712210400.0,AAVE,Borrowed rETH,762.456769652365
1712232000.0,AAVE,Supplied rETH,41780.3404970942
1712232000.0,AAVE,Borrowed rETH,762.4582505291004
1712253600.0,AAVE,Supplied rETH,41780.3417579116
1712253600.0,AAVE,Borrowed rETH,762.4597338464572
1712275200.0,AAVE,Supplied rETH,41776.65087959614
1712275200.0,AAVE,Borrowed rETH,762.4612147963047
1712296800.0,AAVE,Supplied rETH,41766.65196985258
1712296800.0,AAVE,Borrowed rETH,762.4626941639686
1712318400.0,AAVE,Supplied rETH,41766.721103558746
1712318400.0,AAVE,Borrowed rETH,762.4641804562208
1712340000.0,AAVE,Supplied rETH,41765.75533282485
1712340000.0,AAVE,Borrowed rETH,762.4656667560133
1712361600.0,AAVE,Supplied rETH,41765.762288959435
1712361600.0,AAVE,Borrowed rETH,762.4671432062698
1712383200.0,AAVE,Supplied rETH,41822.64905235292
1712383200.0,AAVE,Borrowed rETH,764.4686288979902
1712404800.0,AAVE,Supplied rETH,41802.76234973176
1712404800.0,AAVE,Borrowed rETH,764.47011388968
1712426400.0,AAVE,Supplied rETH,41806.675155826335
1712426400.0,AAVE,Borrowed rETH,776.4716101496547
1712448000.0,AAVE,Supplied rETH,41806.559446626474
1712448000.0,AAVE,Borrowed rETH,776.4731491142933
1712469600.0,AAVE,Supplied rETH,41806.56075993273
1712469600.0,AAVE,Borrowed rETH,776.4746941822063
1712491200.0,AAVE,Supplied rETH,41848.74624525379
1712491200.0,AAVE,Borrowed rETH,776.4762253488275
1712512800.0,AAVE,Supplied rETH,41848.747552897905
1712512800.0,AAVE,Borrowed rETH,776.4777637550792
1712534400.0,AAVE,Supplied rETH,41848.748858368606
1712534400.0,AAVE,Borrowed rETH,776.4792996067196
1712556000.0,AAVE,Supplied rETH,41920.55168958386
1712556000.0,AAVE,Borrowed rETH,776.4808326879306
1712577600.0,AAVE,Supplied rETH,42166.544138432495
1712577600.0,AAVE,Borrowed rETH,764.4807380957975
1712599200.0,AAVE,Supplied rETH,42168.54539827363
1712599200.0,AAVE,Borrowed rETH,766.482220262446
1712620800.0,AAVE,Supplied rETH,42168.546659304855
1712620800.0,AAVE,Borrowed rETH,766.4837038299663
1712642400.0,AAVE,Supplied rETH,40778.41752887778
1712642400.0,AAVE,Borrowed rETH,766.4852187846598
1712664000.0,AAVE,Supplied rETH,40795.22162326584
1712664000.0,AAVE,Borrowed rETH,766.4867551330789
1712685600.0,AAVE,Supplied rETH,40795.22292748921
1712685600.0,AAVE,Borrowed rETH,766.4882895143899
1712707200.0,AAVE,Supplied rETH,40666.22419522094
1712707200.0,AAVE,Borrowed rETH,766.4898228530686
1712728800.0,AAVE,Supplied rETH,42636.22544971182
1712728800.0,AAVE,Borrowed rETH,766.4912987255475
1712750400.0,AAVE,Supplied rETH,42630.22584864705
1712750400.0,AAVE,Borrowed rETH,766.4927660645777
1712772000.0,AAVE,Supplied rETH,42630.23160862096
1712772000.0,AAVE,Borrowed rETH,766.4942311580554
1712793600.0,AAVE,Supplied rETH,42633.785636695655
1712793600.0,AAVE,Borrowed rETH,766.4956928757739
1712815200.0,AAVE,Supplied rETH,42633.78688331469
1712815200.0,AAVE,Borrowed rETH,766.4971594887693
1712836800.0,AAVE,Supplied rETH,42633.78813063199
1712836800.0,AAVE,Borrowed rETH,766.4986269231368
1712858400.0,AAVE,Supplied rETH,42637.8667009509
1712858400.0,AAVE,Borrowed rETH,766.5000942853735
1712880000.0,AAVE,Supplied rETH,42607.86794930038
1712880000.0,AAVE,Borrowed rETH,766.5015629331469
1712901600.0,AAVE,Supplied rETH,42607.86919739267
1712901600.0,AAVE,Borrowed rETH,766.5030312781495
1712923200.0,AAVE,Supplied rETH,42607.87044201744
1712923200.0,AAVE,Borrowed rETH,766.504495545728
1712944800.0,AAVE,Supplied rETH,42598.69484334617
1712944800.0,AAVE,Borrowed rETH,751.6597626318791
1712966400.0,AAVE,Supplied rETH,42888.93726105099
1712966400.0,AAVE,Borrowed rETH,751.6611663658197
1712988000.0,AAVE,Supplied rETH,42949.875658941804
1712988000.0,AAVE,Borrowed rETH,751.6625760314994
1713009600.0,AAVE,Supplied rETH,43215.59647876784
1713009600.0,AAVE,Borrowed rETH,751.6639765471833
1713031200.0,AAVE,Supplied rETH,43208.15118373711
1713031200.0,AAVE,Borrowed rETH,751.6653680198519
1713052800.0,AAVE,Supplied rETH,43107.18685241879
1713052800.0,AAVE,Borrowed rETH,751.6667726874527
1713074400.0,AAVE,Supplied rETH,43117.605912965664
1713074400.0,AAVE,Borrowed rETH,751.6681721516125
1713096000.0,AAVE,Supplied rETH,42823.53928219851
1713096000.0,AAVE,Borrowed rETH,751.6695708496507
1713117600.0,AAVE,Supplied rETH,42492.257259276004
1713117600.0,AAVE,Borrowed rETH,751.6709814723774
1713139200.0,AAVE,Supplied rETH,42492.14737305151
1713139200.0,AAVE,Borrowed rETH,751.6724005379115
1713160800.0,AAVE,Supplied rETH,42492.14857324054
1713160800.0,AAVE,Borrowed rETH,751.6738125269948
1713182400.0,AAVE,Supplied rETH,42030.78918264781
1713182400.0,AAVE,Borrowed rETH,751.6752353629786
1713204000.0,AAVE,Supplied rETH,42030.790398725825
1713204000.0,AAVE,Borrowed rETH,751.6766660448243
1713225600.0,AAVE,Supplied rETH,42097.441956219736
1713225600.0,AAVE,Borrowed rETH,751.6781005980026
1713247200.0,AAVE,Supplied rETH,42084.61026576576
1713247200.0,AAVE,Borrowed rETH,751.6795315386314
1713268800.0,AAVE,Supplied rETH,42084.83571557582
1713268800.0,AAVE,Borrowed rETH,751.680963580895
1713290400.0,AAVE,Supplied rETH,42085.83301413853
1713290400.0,AAVE,Borrowed rETH,751.6823924323304
1713312000.0,AAVE,Supplied rETH,42085.83413461095
1713312000.0,AAVE,Borrowed rETH,698.4821924469709
1713333600.0,AAVE,Supplied rETH,42085.83517979375
1713333600.0,AAVE,Borrowed rETH,698.4834220742778
1713355200.0,AAVE,Supplied rETH,41702.836236651754
1713355200.0,AAVE,Borrowed rETH,698.4846654376407
1713376800.0,AAVE,Supplied rETH,41716.8825773629
1713376800.0,AAVE,Borrowed rETH,698.4859066035866
1713398400.0,AAVE,Supplied rETH,41716.883637094215
1713398400.0,AAVE,Borrowed rETH,698.4871533481222
1713420000.0,AAVE,Supplied rETH,41229.189465774456
1713420000.0,AAVE,Borrowed rETH,698.4883972128946
1713441600.0,AAVE,Supplied rETH,40200.215018407485
1713441600.0,AAVE,Borrowed rETH,698.4896874143768
1713463200.0,AAVE,Supplied rETH,40186.0845164673
1713463200.0,AAVE,Borrowed rETH,698.4909797596529
1713484800.0,AAVE,Supplied rETH,40185.26869283051
1713484800.0,AAVE,Borrowed rETH,812.4922813893011
1713506400.0,AAVE,Supplied rETH,40155.754696763266
1713506400.0,AAVE,Borrowed rETH,812.4940302029408
1713528000.0,AAVE,Supplied rETH,40155.75618806862
1713528000.0,AAVE,Borrowed rETH,812.4957846833573
1713549600.0,AAVE,Supplied rETH,39997.53786919835
1713549600.0,AAVE,Borrowed rETH,812.4975458578184
1713571200.0,AAVE,Supplied rETH,39997.54502997616
1713571200.0,AAVE,Borrowed rETH,812.4993014330864
1713592800.0,AAVE,Supplied rETH,39997.54652304656
1713592800.0,AAVE,Borrowed rETH,812.5010579907422
1713614400.0,AAVE,Supplied rETH,39989.85410970028
1713614400.0,AAVE,Borrowed rETH,812.5028166600385
1713636000.0,AAVE,Supplied rETH,39989.85560141421
1713636000.0,AAVE,Borrowed rETH,812.50457161911
1713657600.0,AAVE,Supplied rETH,39989.85709063654
1713657600.0,AAVE,Borrowed rETH,812.5063236505886
1713679200.0,AAVE,Supplied rETH,39967.38613236899
1713679200.0,AAVE,Borrowed rETH,812.5080792052303
1713700800.0,AAVE,Supplied rETH,39967.387626602365
1713700800.0,AAVE,Borrowed rETH,812.5098371286979
1713722400.0,AAVE,Supplied rETH,39930.07860536574
1713722400.0,AAVE,Borrowed rETH,816.5115906807189
1713744000.0,AAVE,Supplied rETH,39940.18241283247
1713744000.0,AAVE,Borrowed rETH,816.5133616415324
1713765600.0,AAVE,Supplied rETH,39950.56613300142
1713765600.0,AAVE,Borrowed rETH,816.5151399476559
1713787200.0,AAVE,Supplied rETH,39850.386556165904
1713787200.0,AAVE,Borrowed rETH,816.5169119596148
1713808800.0,AAVE,Supplied rETH,39848.7243073411
1713808800.0,AAVE,Borrowed rETH,816.5186943612546
1713830400.0,AAVE,Supplied rETH,39855.48796231597
1713830400.0,AAVE,Borrowed rETH,812.5204283371892
1713852000.0,AAVE,Supplied rETH,39858.329175512095
1713852000.0,AAVE,Borrowed rETH,812.5221834062005
1713873600.0,AAVE,Supplied rETH,39857.225347719155
1713873600.0,AAVE,Borrowed rETH,812.5239452266221
1713895200.0,AAVE,Supplied rETH,39857.226846139725
1713895200.0,AAVE,Borrowed rETH,812.5257080769302
1713916800.0,AAVE,Supplied rETH,39856.74084655309
1713916800.0,AAVE,Borrowed rETH,797.5211151087276
1713938400.0,AAVE,Supplied rETH,39856.03727586872
1713938400.0,AAVE,Borrowed rETH,798.4428168483166
1713960000.0,AAVE,Supplied rETH,39855.902930509146
1713960000.0,AAVE,Borrowed rETH,798.4445201302752
1713981600.0,AAVE,Supplied rETH,39855.904383934154
1713981600.0,AAVE,Borrowed rETH,798.4462300459559
1714003200.0,AAVE,Supplied rETH,39855.90583092096
1714003200.0,AAVE,Borrowed rETH,798.4479323908967
1714024800.0,AAVE,Supplied rETH,39577.72136248563
1714024800.0,AAVE,Borrowed rETH,800.949635457041
1714046400.0,AAVE,Supplied rETH,39512.84937154725
1714046400.0,AAVE,Borrowed rETH,800.9523608617412
1714068000.0,AAVE,Supplied rETH,39512.85696155502
1714068000.0,AAVE,Borrowed rETH,800.9540859037113
1714089600.0,AAVE,Supplied rETH,39512.85842620474
1714089600.0,AAVE,Borrowed rETH,800.9522796469874
1714111200.0,AAVE,Supplied rETH,39512.859891674576
1714111200.0,AAVE,Borrowed rETH,800.9540037299631
1714132800.0,AAVE,Supplied rETH,39512.86136613317
1714132800.0,AAVE,Borrowed rETH,800.9557383898273
1714154400.0,AAVE,Supplied rETH,39501.80591381079
1714154400.0,AAVE,Borrowed rETH,800.9574742115036
1714176000.0,AAVE,Supplied rETH,39491.679949924786
1714176000.0,AAVE,Borrowed rETH,800.9592030703651
1714197600.0,AAVE,Supplied rETH,39491.68141620552
1714197600.0,AAVE,Borrowed rETH,800.9609281075495
1714219200.0,AAVE,Supplied rETH,39325.82010210671
1714219200.0,AAVE,Borrowed rETH,800.9626645764529
1714240800.0,AAVE,Supplied rETH,39342.599655147205
1714240800.0,AAVE,Borrowed rETH,800.9643983188938
1711648800.0,COMPOUND,Supplied rETH,145.01688768165906
1711648800.0,COMPOUND,Borrowed ETH,34057.52566269563
1711670400.0,COMPOUND,Supplied rETH,145.01688768165906
1711670400.0,COMPOUND,Borrowed ETH,34407.287133904945
1711692000.0,COMPOUND,Supplied rETH,145.01688768165906
1711692000.0,COMPOUND,Borrowed ETH,34407.85902554245
1711713600.0,COMPOUND,Supplied rETH,145.01688768165906
1711713600.0,COMPOUND,Borrowed ETH,35166.0309830887
1711735200.0,COMPOUND,Supplied rETH,145.01688768165906
1711735200.0,COMPOUND,Borrowed ETH,35166.62989710207
1711756800.0,COMPOUND,Supplied rETH,145.01688768165906
1711756800.0,COMPOUND,Borrowed ETH,35152.54197143619
1711778400.0,COMPOUND,Supplied rETH,145.01688768165906
1711778400.0,COMPOUND,Borrowed ETH,35153.16653464424
1711800000.0,COMPOUND,Supplied rETH,145.01688768165906
1711800000.0,COMPOUND,Borrowed ETH,35153.8151906944
1711821600.0,COMPOUND,Supplied rETH,145.01688768165906
1711821600.0,COMPOUND,Borrowed ETH,35154.46858705628
1711843200.0,COMPOUND,Supplied rETH,145.01688768165906
1711843200.0,COMPOUND,Borrowed ETH,35155.12090203647
1711864800.0,COMPOUND,Supplied rETH,145.01688768165906
1711864800.0,COMPOUND,Borrowed ETH,35155.77395089313
1711886400.0,COMPOUND,Supplied rETH,145.01688768165906
1711886400.0,COMPOUND,Borrowed ETH,35153.421936004015
1711908000.0,COMPOUND,Supplied rETH,145.01688768165906
1711908000.0,COMPOUND,Borrowed ETH,35154.07673571914
1711929600.0,COMPOUND,Supplied rETH,145.01688768165906
1711929600.0,COMPOUND,Borrowed ETH,34664.93137845117
1711951200.0,COMPOUND,Supplied rETH,145.01688768165906
1711951200.0,COMPOUND,Borrowed ETH,34669.06667682645
1711972800.0,COMPOUND,Supplied rETH,145.01688768165906
1711972800.0,COMPOUND,Borrowed ETH,35159.71477696024
1711994400.0,COMPOUND,Supplied rETH,145.0168876956823
1711994400.0,COMPOUND,Borrowed ETH,29328.854403818514
1712016000.0,COMPOUND,Supplied rETH,145.0168876956823
1712016000.0,COMPOUND,Borrowed ETH,29069.231438545587
1712037600.0,COMPOUND,Supplied rETH,145.0168876956823
1712037600.0,COMPOUND,Borrowed ETH,29069.68703782755
1712059200.0,COMPOUND,Supplied rETH,145.0168876956823
1712059200.0,COMPOUND,Borrowed ETH,31869.369723197622
1712080800.0,COMPOUND,Supplied rETH,145.0168876956823
1712080800.0,COMPOUND,Borrowed ETH,32019.886846593407
1712102400.0,COMPOUND,Supplied rETH,145.0168876956823
1712102400.0,COMPOUND,Borrowed ETH,32020.35376377863
1712124000.0,COMPOUND,Supplied rETH,145.0168876956823
1712124000.0,COMPOUND,Borrowed ETH,32020.812470712754
1712145600.0,COMPOUND,Supplied rETH,145.0168876956823
1712145600.0,COMPOUND,Borrowed ETH,32021.274344947124
1712167200.0,COMPOUND,Supplied rETH,145.0168876956823
1712167200.0,COMPOUND,Borrowed ETH,32023.23306964991
1712188800.0,COMPOUND,Supplied rETH,145.0168876956823
1712188800.0,COMPOUND,Borrowed ETH,31870.56007616703
1712210400.0,COMPOUND,Supplied rETH,145.0168876956823
1712210400.0,COMPOUND,Borrowed ETH,31868.513369454053
1712232000.0,COMPOUND,Supplied rETH,145.0168876956823
1712232000.0,COMPOUND,Borrowed ETH,31868.953435386004
1712253600.0,COMPOUND,Supplied rETH,145.0168876956823
1712253600.0,COMPOUND,Borrowed ETH,31869.395030652617
1712275200.0,COMPOUND,Supplied rETH,145.0168876956823
1712275200.0,COMPOUND,Borrowed ETH,31869.83588807539
1712296800.0,COMPOUND,Supplied rETH,145.0168876956823
1712296800.0,COMPOUND,Borrowed ETH,31870.276252236275
1712318400.0,COMPOUND,Supplied rETH,145.0168876956823
1712318400.0,COMPOUND,Borrowed ETH,31870.718717283205
1712340000.0,COMPOUND,Supplied rETH,145.0168876956823
1712340000.0,COMPOUND,Borrowed ETH,31871.1613396412
1712361600.0,COMPOUND,Supplied rETH,145.0168876956823
1712361600.0,COMPOUND,Borrowed ETH,31871.600984183766
1712383200.0,COMPOUND,Supplied rETH,145.0168876956823
1712383200.0,COMPOUND,Borrowed ETH,31872.04232733399
1712404800.0,COMPOUND,Supplied rETH,145.0168876956823
1712404800.0,COMPOUND,Borrowed ETH,31872.482692617865
1712426400.0,COMPOUND,Supplied rETH,145.0168876956823
1712426400.0,COMPOUND,Borrowed ETH,31872.92016061973
1712448000.0,COMPOUND,Supplied rETH,145.0168876956823
1712448000.0,COMPOUND,Borrowed ETH,31896.349932345136
1712469600.0,COMPOUND,Supplied rETH,145.0168876956823
1712469600.0,COMPOUND,Borrowed ETH,31896.780588761536
1712491200.0,COMPOUND,Supplied rETH,145.0168876956823
1712491200.0,COMPOUND,Borrowed ETH,31897.20836596508
1712512800.0,COMPOUND,Supplied rETH,145.0168876956823
1712512800.0,COMPOUND,Borrowed ETH,31875.720333119385
1712534400.0,COMPOUND,Supplied rETH,145.0168876956823
1712534400.0,COMPOUND,Borrowed ETH,31876.149346416903
1712556000.0,COMPOUND,Supplied rETH,145.0168876956823
1712556000.0,COMPOUND,Borrowed ETH,31876.579648902345
1712577600.0,COMPOUND,Supplied rETH,145.0168876956823
1712577600.0,COMPOUND,Borrowed ETH,31877.020839291825
1712599200.0,COMPOUND,Supplied rETH,145.0168876956823
1712599200.0,COMPOUND,Borrowed ETH,31781.46778595916
1712620800.0,COMPOUND,Supplied rETH,145.28922047798036
1712620800.0,COMPOUND,Borrowed ETH,31782.290206703914
1712642400.0,COMPOUND,Supplied rETH,145.28922047798036
1712642400.0,COMPOUND,Borrowed ETH,31782.751470967145
1712664000.0,COMPOUND,Supplied rETH,145.28922047798036
1712664000.0,COMPOUND,Borrowed ETH,31783.21351422438
1712685600.0,COMPOUND,Supplied rETH,145.28922047798036
1712685600.0,COMPOUND,Borrowed ETH,31778.642319876588
1712707200.0,COMPOUND,Supplied rETH,145.28922047798036
1712707200.0,COMPOUND,Borrowed ETH,31763.146053235516
1712728800.0,COMPOUND,Supplied rETH,145.28922047798036
1712728800.0,COMPOUND,Borrowed ETH,31763.002466392918
1712750400.0,COMPOUND,Supplied rETH,145.28922047798036
1712750400.0,COMPOUND,Borrowed ETH,31763.51888245063
1712772000.0,COMPOUND,Supplied rETH,145.28922047798036
1712772000.0,COMPOUND,Borrowed ETH,31764.034447724178
